name,x_voxels,y_voxels,z_voxels,R,G,B
A0,451,425,49,255,255,255
 ABarpaappa,197,158,82.5,255,255,255
 ABarpaappp,227,177,153,255,255,255
 ABarpaapaa,141,212,84,255,255,255
 ABarpaapap,172,170,68,255,255,255
 ,147,258,54,255,255,255
 Cpaaaa,292,163,54,255,255,255
 ABplaaapap,161,254,27.5,255,255,255
 ABplaaappp,227,202,15,255,255,255
 ABplaaappa,191,236,12.25,255,255,255
 ABarppaaap,266,177,33.75,255,255,255
 ABplaapppp,299,201,39,255,255,255
 ABplaapppa,239,279,49,255,255,255
 ABarpppapa,271,161,49.75,255,255,255
 ABarppapaa,301,183,44,255,255,255
 Cpapap,346,282,48,255,255,255
 Caaapp,399,278,137,255,255,255
 Cpaapp,397,244,51.666668,255,255,255
 ABplapapaa,372,264,45,255,255,255
 ABplapapap,346,252,51,255,255,255
 ABplappapp,375,243,50.666668,255,255,255
 ABplappapa,373,173,76,255,255,255
 ABplaaaapa,144,216,58,255,255,255
 ABplaaaapp,150,200,67.75,255,255,255
 ABplapaapp,319,188,54.75,255,255,255
 ABarpapapp,153,186,85.5,255,255,255
 ABarppappa,403,205,64,255,255,255
 ABarppappp,320,271,52,255,255,255
 ABarppapap,331,170,61,255,255,255
 Cpappd,296,288,51,255,255,255
 ,264,297,70.70588,255,255,255
 ABplapappa,310,258,62,255,255,255
 ABplappaap,388,193,71,255,255,255
 ABplappaaa,351,183,69,255,255,255
 Cpaaap,346,157,74.666664,255,255,255
 ABarpapapa,127,245,79,255,255,255
 ABplapaapa,264,264,75,255,255,255
 Cpaapa,401,178,80.666664,255,255,255
 ,195,305,87.666664,255,255,255
 ABpraappap,193,304,87,255,255,255
 ABpraappaa,143,294,80.5,255,255,255
 ABpraapppa,224,292,115,255,255,255
 ABpraapppp,270,217,168,255,255,255
 ABarpppaap,251,201,171,255,255,255
 ABarppppaa,273,197,164,255,255,255
 ABarppaapa,266,175,160.66667,255,255,255
 ABprapaapp,303,202,167.66667,255,255,255
 ABarppppap,311,184,173,255,255,255
 ABprappaaa,336,199,165.33333,255,255,255
 ABarpappap,134,249,121,255,255,255
 Cpapaa,340,304,136,255,255,255
 ,244,306,109,255,255,255
 Caappd,309,304,135,255,255,255
 ABarpapppa,158,246,145.6,255,255,255
 ABarpapppp,178,211,152.2,255,255,255
 Caaaaa,330,167,164.25,255,255,255
 Caaaap,372,180,163,255,255,255
 ABprappaap,376,219,162.25,255,255,255
 ,375,287,137.5,255,255,255
 ,386,262,152,255,255,255
 ABarpppppa,393,221,157,255,255,255
 ABprapapap,347,278,148,255,255,255
 ,211,208,68,255,255,255
 ,210,234,146.5,255,255,255
 ABplaappaa,157,293,62.25,255,255,255
 ABplaappap,199,302,65,255,255,255
 ,262,307,100,255,255,255
 Caaapa,412,217,148.33333,255,255,255
 ,271,274,110.25,255,255,255
 ,247,307,113.90909,255,255,255
 ,222,312,112.37433,255,255,255
 ,231,311,94,255,255,255
 ABplppppppp,232,312,94,255,255,255
 ,243,306,108.5,255,255,255
 ,250,297,79,255,255,255
 ,373,198,160.9469,255,255,255
 ABprapapaa,374,285,140,255,255,255
 ABprappapp,387,257,150.5,255,255,255
 ABprappapa,361,194,168.5,255,255,255
 ABprapaapa,249,274,118,255,255,255
 ,384,269,150.0885,255,255,255
 ABplappppa,271,269,105.5,255,255,255
 ABprppppppp,228,297,121.2,255,255,255
 ABprappppa,316,269,154,255,255,255
